438,Marot ha-tsovot : perush al Neviim ... Mosheh Alshekh ; hugah al yad Yitshak Gershon.
1804,מגלה עמוקות
2281,Shulhan Arukh. Even ha-Ezer
574,"Levanon :shem ha-kolel la-inyanim ha-mehubarim le-varer ule-laben yesodot ve-shorshe leshon ha-kodesh, meshalav u-melitsotav ... ha-sefer ha-rishon zeh shemo Gan naul u-vo sheloshah batim."
515,
520,Masekhet Pesahim
579,Sefer She'elot u-teshuvot besamim rosh
575,"Ioh. Henrici Othonis, Hel. Bernatis, in Acad. Laus. Phil. Prof., lexicon rabbinico-philologicum :in quo ordine alphabetico notantur et referuntur prÃ¦cipua, quÃ¦ circa veterum HebrÃ¦orum dogmata, ritus & statuta, in utroque Talmude, Maymonidis & aliorum scriptis occurrunt : ad utilitatem operis indigitandam in limine positum est Massecet Schekalim, not. illust., cum indicibus in V. & N. Testamentum, ut & Misnicos tractatus."
2161,Bible. N.T. Matthew. Hebrew. Latin.
449,"Sefer Bet Aharon : helek rishon, al sefer Be-reshit asher hibarti Aharon beha-h. Itsik."
446,Sar shalom.
3176,חובות הלבבות
576,"Splendor lucis :oder, Glantz des Lichts, pars I. enthaltend eine kurtze physico-cabalistische Auslegung des grÃ¶sten Natur-Geheimnuss : insgemein Lapis philosophorum genannt caus dem hebraeischen Grund-Text der Heil. Schrift gezogen : in Hebraeisch- und Teutcher Sprach gleich-lautend heraus gegeben von Aloysio Wienner, Orientalium Linguarum Magistro ab Antiquissima & Celeberrima Universitate, Viennensi Approbato."
1253,Masekhet Nazir
1254,Masekhet Sukkah
440,Meshal ha-kadmoni.
365,ביאור על התורה
2780,מדרש רבות חלק ראשון
1515,מנהגי ישרון
2216,Sha'are Dura
441,Mikhtam le-David : mehkar be-emunah David Vital.
456,Sefer Ets ha-Hayim : derush u-musafin ke-hilkhatan.
572,"Sefer Kos ha-Yeshu`ot :helek rishon min hidushe M.H.R.Sh.Sh.Kh. ve-`asuyin al ... sheva masekhtot: shalosh Bavot, Sanhedrin, Makot, Shevu`ot, A[vodah] Z[arah]"
2694,Tikun Soferim
1167,מיני תרגומא ‬
445,Bible. Prophets. Writings. Commentary.
454,Sefer Divre shalom
573,"Catechismus Judaeorum : bin disputatione & dialogo magistri ac discipuli scriptus aÌ Rabbi Abrahamo Jagel, Monte Silicis oriundo ; et Latinus ex Hebraeo factus aÌ Ludovico de CompieÌgne de Veil, A.M, secundum exemplar Londinense."
676,חמדת שלמה
930,סדר סליחות
958,ערוך השלם
1139,עבודת הלוי
987,"Talmud Bavli, Massekhet Bava Batra"
959,ערוך השלם
577,Rav peninim : u-vo sheloshah sefarim niftahim sefer ehad nikra Nofet tsufim u-me'irat `enayim ...
1111,מדרש תדשא
536,Seder nakhon mi-seliḥot u-fiyuṭim ḥadashim ʻim yeshanim : le-hitpalel ule-hitḥanen
1041,ספר השרשים... והוא החלק השני מהמכלול ... שחבר החכם הספרדי
580,Sefer She'iltot / : de-rav Ahai Ga'on mi-Shabhaספר שאילתות / : דרב אחאי גאון משבחא
455,Sefer Eshle ravreve.
1225,Synagoga judaica
1970,Sefer Mitsṿot ha-gadol
1226,Thesaurus grammaticus linguæ sanctæ hebrææ duobus libris methodice propositus
458,Sefer Hanukat ha-bayit : be-veur tsurot ve-tavnit ha-bayit ha-neherav ... .
452,Sefer Derekh yesharah.
453,Sefer dikduk ha-nikra Divre Agur.
1227,"Biblia sacra Hebraici, Chaldaice, Graece, & Latine."
517,
1417,ציוני
1910,משנת ר’ אליעזר
583,Sammlung von gerichtlichen jüdischen Contracten : Rabbinisch und Deutsch
1842,"שאלות ותשובות בשמים ראש \ ע""פ כסא דהרסנא"
829,Sefer Oniy. be-lev yam : ... ʻal shelosh ʻeśreh midot u-shelosh ʻeśreh ʻiḳarim ... ṿi-yesode emunah ... / ḥibro Boʻaz Refaʼel Roṭ shilṭ.
468,Sefer Mor u-ketsiah : mi-Tur Orah hayim ...
1805,אכלה ואכלה
585,She'elot U-teshuvot
1312,Masekhet Nedarim
2984,Masekhet Nedarim
488,Ve-zot ha-sefer ha-Nefesh ha-hakhamah Mosheh b. R. Shem Tov me-ir Leyon.
473,Sefer Yarim Mosheh beur le-masekhet Avot le ... Mosheh Alshekh ; ve-asiti leket ha-zeh [Yirmeyah ben Mosheh Shlenker].
2162,Sefer ha- Emunot
2215,halikhot ʻolam
476,Sefer Yoreh hataim : im notarikon naim ve-hibut ha-kever ve-tsavaat R. Yuda Hasid bi-leshon ha-kodesh ve-atah hosafti ani Binyamin Segal mi-k.k. Melitskol ha-devarim hamagiim le-hitorer lev ha-adam la-shuv me-ha
482,"Sh. u-t. Maamar Mordekhai, helek rishon ... Lehem eden ... me-ta'am ... Menahem Mendl."
495,Sefer ha-emunot veha-deot ... ve-hetiko R. Yehudah ben Shaul ha-yadua ibn Tibon ...
485,Tikune ha-Zohar she-hiber ha-tana ha-eloki Rabi Shimon ben Yohai.
492,"Yoel u-Malakhi im perush David Kimhi : Terufah ruhaniyut = Ioel et Malachias, cum commentario Dauid Kimhi : Item medicina spiritualis haec Sebastianus Munsterus ..."
491,Bet Yaakov esh : beur ... al sifra de-Iyov ... hekhino Yaakov Uri Shraga Fayvil ben ... Menahem Nahum.
906,ספר גרושין
459,Sefer ha-yashar
2805,Ḥen ṭov
483,Tefilah le-Mosheh hibro Mosheh Almosnino ; seder k. Sh. she-al ha-mitah ... be-veur maalat ha-Torah ... derushim ...
816,"Sefer Baʻe ḥaye : mi-shu""t ḥeleḳ ḥ""hm ḥ""a niḳra ets hadar / Ḥayim Benveneshet."
2100,Shibole ha-leḳeṭ
1516,"שו""ת הרדב""ז"
1547,ספר השרשים
2087,Pisḳe halakhot
489,Zeh Sefer teshuvot ... David ha-kohen ...
490,Sefer Beer rehovot : beur ... al dikduke Rashi ba-Torah ve-Hamesh megilot hibro ... Ayzik Oyerbakh.
3353,מאמרים יקרים ודברים נכבדים
1350,Tehillim
494,Sefer Hidushe halakhot she-hiber Shemuel Edlish ve-sefer Maharshal Hokhmat Shelomoh she-hiber Shelomoh Lurya.
3177,ספר מאמר אברהם עם קונט' מחזה אברהם וספר זרע אברהם
800,טור אורח חיים ‬
584,Maʼamar ha-Torah ṿeha-ḥokhmah.
477,She'elot u-teshuvot ... ... Mosheh Mints.
905,ראשית חכמה
3178,
461,Sefer Hozeh David : al Tehilim.
1255,שיבת ציון
3121,Otiyot shel Rabi Akiba
462,Sefer Keriah ne'emanah : ve-hu tamtsit ... sefer Maavar Yabok asher kitsarti Shemuel David Otolingi.
463,"Sefer Kis'ot le-vet David asher yasad, izen ve-hiber Yehudah Asahel bar ... Eliezer David Mahtov."
464,Sefer Lehem abirim : ve-hem hidushim mehudashim al kamah masekhtot Avraham ben Azuz ha-mekhuneh ben Borgil ; hugah ... a. y. ... Yitshak Gershon.
2787,""
465,Sefer Lehem Shelomoh : ve-hu beur mafli ve-katsar ... al maamarim ... meha-Gemara u-midrashim ... Shelomoh le-Vet ha-Levi.
466,Sefer Marot ha-tsovot : perush al Neviim aharonim leha-Rav Mosheh Alshekh.
467,Sefer Meharare nemerim : kulam nikbetsu bau lekha kelale ha-Gemara me-mo. ha-r.R. Imanuel ha-Sefaradi u-khelale ha-Gemara meha-r.R. David [ben Shelomoh] ibn Zimrah ve-k.v. [kal va-homer] meha-r.R. Shemuel Alvalensi ... ve.k.v
471,Sefer Peri megadim : al Shulhan Arukh Hoshen Mishpat ve-hayah kol mevakesh makom mekor din bi-nakel ... Shemuel [ben Aleksander].
470,Sefer Olat tamid hibero ve-gam yasdo ha-Rav k.mo.ha-r.R Mosheh Albedah.
2806,
2350,She'elot u-Teshuvot (Solomon ben Jehiel Luria)
640,שלחן ערוך. מטור יורה דעה
