321,מרדכי בן אלחנן
322,מרדכי 
324,David Dorfman
327,יוסף דיין
328,יעקב חזקוני
329,"Ḥazkuni, Abraham, 1627-"
330,יהודא ליב מייא
331,בנימין בן איצק 
332,ליב גונדר
333,גוטקינד (?) בן ישראל
774,Dan Wyman Books
1527,Rabbi Rapoport
252,David ben Solomon ibn Abi Zimra
1537,בחיה בן יוסף אבן פקודה
1553,Raphael Isaiah Azulai
1555,Rabbi Nechamkin
335,מאיר בן יחיאל
4987,"Darmshṭaṭ, Yosef ben Meʼir Tsevi"
337,Ya'akov (mi-L'vov)
1528,Rabbi Rappaport
339,נתן ניימרק
4695,שלמה בן בענדיט 
341,בער בן יחיאל מיכל
342,אהרן בן יצחק אונא
343,Jehiel Michael ben Judah Leib
344,יוסף שוחט דמתא
345,ליברמן
346,ליברמן
347,שלמה פלעסנער
348,Jacob ben Isaac
4318,Mosheh Ber Schön
350,Shemual Yisrael ben 'Azriel Molder
351,Shemuel Yisra'el ben 'Azri'el Molder
352,ר' גימפריך (?)
353,ר' שמואל
1529,Russian State Library
355,Eliezer ben Abraham Alantansi 
356,Solomon ben Maimon Zalmati
357,אלייא מנחם קופינו/קופצו
5312,William Scheide
359,British Library
2968,בן ציון בן מרדכי גירונדי
2336,Klonymus b. Judah
362,"אושנבורג, שמעון בן יצחק הלוי"
364,"פארינצו, אשר בן יעקב"
365,Christofel Sabal
1897,Ludwig Rosenthal
367,Samuel Heidelberg
368,Samuel Oppenheimer
369,Mendel son of Samuel Oppenheimer
370,Yonah of Prague Altschul
371,Isaac b. Jacob ha-Levi Kaufman
2200, Yosef Refael ben Hayim Hazan
1530,"  סופר, משה בן שמואל"
3089,Re'uven and Nissim Bene Yonah
375,"Perlow, Nehemiah"
376,Meir ben Eliezer Liberman
2337,"Bisliches, Mordecai Leib 1786-1851"
379,"Bekmann, Johann Christoph"
380,Judah Leib (b. Joseph) Puchawitzer of Pinsk
381,"הרבנים דארבע ארצות מדינת פולין: ר’ צבי הירש ב""ר זכריה, [קלוזנר], לבוב"
382,"ר’ יצחק ב""ר זאב וואלף, קראקא"
383,"ר’ נפתלי הירש ב""ר בנימן וואלף, לובלין"
384,"ר’ ישראל ב""ר שמואל מטרנאפאל, לויצק"
385,"ר’ יוסף הלוי הורוויץ, פרעמסלא, ור’ יעקב ב""ר מרדכי, לובמלא, בוועד קודש ביערסלב, יז אלול, ת""ם"
386,"ר’ יצחק ב""ר אברהם, פוזנן, ב אדר-ב ת""ם"
387,"הרבנים דארבע ראשי קהילות מדינת ליטא: ר’ מרדכי ב""ר בנימין וואלף גינצבורג, בריסק דליטא, ר’ משה ב""ר אברהם מגזע צבי, הראדנא, ר’ משה ב""ר ישראל יעקב, פינסק, ור’ משה ב""ר דוד, ווילנא, בהתוועדות קודש חאמסק, ראש-חודש מנחם-[אב] תל""ט"
388,"ר’ יששכר בער ב""ר אלחנן, פרנקפורט דאדרה, ג נצבים תמ""א"
1750,David Kimhi
403,Temple Emanu-el
4698,Schocken Collection
392,זורזי די קבאלי
652,Naftali Tsevi Yehuda Berlin
394,אברם אלקה כץ
2338,Anton Edlen von Schmidt
397,"Saba, Abraham ben Jacob"
398,דפוס מארקו אנטוניו יושטיניאן 
399,"Lewenstein, M. J."
400,"Israel ben Benjamin, of Przemysl"
401,Ḥirsh ben Ḥayim
404,"Oppenheim, Joseph b. David"
405,"Mordecai ben Hillel, ha-Kohen"
654,Shaul Zev ben R' Shemarya' Bookstein
406,J. D. Eisenstein
